Numero,Aleacion ,Composicion (at.%),Categoria ,Fabricacion,Fases ,Categoría,Densidad (g/cm3),Dureza (HV),Modulo de Young (GPa),Limite Elastico (Mpa),Esfuerzo ultimo ,Deformacion,Fecha publicacion,DOI
229,CoCrFeNb0.103Ni,"Cr24,37-Fe24,37-Co24,37-Ni24,37-Nb2,52",HEA,Fusion por arco ,FCC + Im,FCC+IM,8.2,N/A,N/A,318,622,19,09-ene-15,https://doi.org/10.1016/j.intermet.2015.01.004
230,CoCrFeNb0.155Ni,"Cr24,07-Fe24,07-Co24,07-Ni24,07-Nb3,72",HEA,Fusion por arco ,FCC + Im,FCC+IM,8.2,N/A,N/A,322,744,23,09-ene-15,https://doi.org/10.1016/j.intermet.2015.01.004
231,CoCrFeNb0.206Ni,"Cr23,78-Fe23,78-Co23,78-Ni23,78-Nb4,88",HEA,Fusion por arco ,FCC + Im,FCC+IM,8.2,N/A,N/A,403,807,9,09-ene-15,https://doi.org/10.1016/j.intermet.2015.01.004
232,CoCrFeNb0.309Ni,"Cr23,21-Fe23,21-Co23,21-Ni23,21-Nb7,16",HEA,Fusion por arco ,FCC + Im,FCC+IM,8.2,N/A,N/A,479,879,4,09-ene-15,https://doi.org/10.1016/j.intermet.2015.01.004
233,CoCrFeNb0.412Ni,"Cr22,67-Fe22,67-Co22,67-Ni22,67-Nb9,32",HEA,Fusion por arco ,FCC + Im,FCC+IM,8.2,N/A,N/A,638,1004,1,09-ene-15,https://doi.org/10.1016/j.intermet.2015.01.004
234,CoCrFeMo0.5Ni,"Cr22,2-Fe22,2-Co22,2-Ni22,2-Mo11,2",HEA,Fusion por arco ,FCC + Im,FCC+IM,8.5,210,N/A,N/A,N/A,N/A,19-ago-13,https://doi.org/10.1007/s11837-013-0753-6
235,Al0.5CoCrFeMo0.5Ni,Al10-Cr20-Fe20-Co20-Ni20-Mo10,HEA,Fusion por arco ,FCC + Im,FCC+IM,7.7,425,N/A,N/A,N/A,N/A,19-ago-13,https://doi.org/10.1007/s11837-013-0753-6
236,Al1.5CoCrFeMo0.5Ni,"Al25,0-Cr16,7-Fe16,7-Co16,7-Ni16,7-Mo8,2",HEA,Fusion por arco ,BCC + Im,BCC+IM,6.6,655,N/A,N/A,N/A,N/A,19-ago-13,https://doi.org/10.1007/s11837-013-0753-6
237,Al2CoCrFeMo0.5Ni,"Al30,8-Cr15,4-Fe15,4-Co15,4-Ni15,4-Mi7,6",HEA,Fusion por arco ,BCC,BCC,6.3,605,185,N/A,N/A,N/A,19-ago-13,https://doi.org/10.1007/s11837-013-0753-6
238,AlCoCrFeMo0.5Ni,"Al18,2-Cr18,2-Fe18,2-Co18,2-Ni18,2-Mo9,0",HEA,Fusion por arco ,BCC + Im,BCC+IM,7.1,715,N/A,N/A,N/A,N/A,19-ago-13,https://doi.org/10.1007/s11837-013-0753-6
239,CoCrFeNiTi,Co20-Cr20-Fe20-Ni20-Ti20,HEA,Fusion por arco + enfriamiento por agua ,FCC,FCC,7.2,N/A,135,N/A,2020,9,22-dic-08,https://doi.org/10.1016/j.msea.2008.12.053
240,Al0.5CoCrFeNiTi,"Co18,2-Cr18,2-Fe18,2-Ni18,2-Ti18,2-Al9,0",HEA,Fusion por arco + enfriamiento por agua ,BCC + Im,BCC + Im,606,N/A,107,N/A,1600,10,22-dic-08,https://doi.org/10.1016/j.msea.2008.12.053
241,AlCoCrFeNiTi,"Co16,6-Cr16,6-Fe16,6-Ni16,6-Ti16,6-Al16,6",HEA,Fusion por arco + enfriamiento por agua ,BCC + Im,BCC + Im,6.2,N/A,148,N/A,2280,6,22-dic-08,https://doi.org/10.1016/j.msea.2008.12.053
242,Al1.5CoCrFeNiTi,"Co15,4-Cr15,4-Fe15,4-Ni15,4-Ti15,4-Al23",HEA,Fusion por arco + enfriamiento por agua ,BCC,BCC,5.9,N/A,133,N/A,2110,10,22-dic-08,https://doi.org/10.1016/j.msea.2008.12.053
243,Al2CoCrFeNiTi,"Co14,3-Cr14,3-Fe14,3-Ni14,3-Ti14,3-Al28,5",HEA,Fusion por arco + enfriamiento por agua ,BCC,BCC,5.6,N/A,94,N/A,1030,5,22-dic-08,https://doi.org/10.1016/j.msea.2008.12.053
244,Co1.5CrFeNi1.5Ti0.5,Co27.3-Cr18.2-Fe18.2-Ni27.3-Ti9.1,HEA,Fusion por arco + Homogenizado 1100°C por 4 horas + envegecido 800°C por 10 h,FCC,FCC,7.8,509,211,N/A,N/A,N/A,23-jun-11,https://doi.org/10.1016/j.actamat.2011.06.041
245,Co1.5CrFeNi1.5Ti,Co25-Cr16.7-Fe16.7-Ni25-Ti16.7,HEA,Fusion por arco + Homogenizado 1100°C por 4 horas + envegecido 800°C por 10 h,FCC + Im,FCC+IM,7.4,654,N/A,N/A,N/A,N/A,23-jun-11,https://doi.org/10.1016/j.actamat.2011.06.041
246,Al0.2Co1.5CrFeNi1.5Ti0.5,Al3.5-Co26.3-Cr17.5-Fe17.5-Ni26.3-Ti8.8,HEA,Fusion por arco + Homogenizado 1100°C por 4 horas + envegecido 800°C por 10 h,FCC,FCC,7.6,487,206,N/A,N/A,N/A,23-jun-11,https://doi.org/10.1016/j.actamat.2011.06.041
247,Al0.2Co1.5CrFeNi1.5Ti,Al3.2-Co24.2-Cr16.1-Fe16.1-Ni24.2-Ti16.1,HEA,Fusion por arco + Homogenizado 1100°C por 4 horas + envegecido 800°C por 10 h,FCC + Im,FCC+IM,7.2,717,N/A,N/A,N/A,N/A,23-jun-11,https://doi.org/10.1016/j.actamat.2011.06.041
248,FeNiCrCo0.3Al0.7,"Fe25-Ni25-Cr25-Co7,5-Al17,5",HEA,Aleacion mecanica 45 h + SPS 600 °C por 4 min + 1000 °C por 75 °Cmin^-1,FCC + BCC + B2,FCC + BCC+IM,6.8,624,N/A,2033,2635,8,17-abr-13,https://doi.org/10.1016/j.matdes.2013.04.061
249,Al1.5CoCrFeNi,"Fe18,2-Ni18,2-Cr18,2-Co18,2-Al27,2",HEA,Fabricacion en horno frio de cobre con velocidad de enfriamienrto de 104 K/s,BCC,BCC,6.2,402,183,N/A,N/A,N/A,31-jul-08,https://doi.org/10.1016/j.jallcom.2008.07.124
250,Al2CoCrFeNi,"Fe16,7-Ni16,7-Co16,7-Cr16,7-Al33,2",HEA,Fabricacion en horno frio de cobre con velocidad de enfriamienrto de 104 K/s,BCC,BCC,5.9,432,173,N/A,N/A,N/A,31-jul-08,https://doi.org/10.1016/j.jallcom.2008.07.124
251,Al2.5CoCrFeNi,"Fe15,4-Ni14,4-Cr15,4-Co15,4-Al38,4",HEA,Fabricacion en horno frio de cobre con velocidad de enfriamienrto de 104 K/s,BCC,BCC,5.6,487,165,N/A,N/A,N/A,31-jul-08,https://doi.org/10.1016/j.jallcom.2008.07.124
252,Al3CoCrFeNi,"Fe14,3-Ni14,3-Cr14,3-Co14,3-Al42,8",HEA,Fabricacion en horno frio de cobre con velocidad de enfriamienrto de 104 K/s,BCC,BCC,5.3,506,158,N/A,N/A,N/A,31-jul-08,https://doi.org/10.1016/j.jallcom.2008.07.124
253,CrCuFeMnNi,Fe20-Ni20-Cr20-Cu20-Mn20,HEA,Fabricacion en horno frio de cobre con velocidad de enfriamienrto de 104 K/s,FCC + BCC,FCC + BCC,8.1,296,204,N/A,N/A,N/A,31-jul-08,https://doi.org/10.1016/j.jallcom.2008.07.124
254,CrCuFeMoNi,Fe20-Ni20-Cr20-Cu20-Mo20,HEA,Fabricacion en horno frio de cobre con velocidad de enfriamienrto de 104 K/s,FCC,FCC,8.7,263,230,N/A,N/A,N/A,31-jul-08,https://doi.org/10.1016/j.jallcom.2008.07.124
255,AlCrCuFeNi,Fe20-Ni20-Cr20-Cu20-Al20,HEA,Fabricacion en horno frio de cobre con velocidad de enfriamienrto de 104 K/s,FCC + BCC,FCC + BCC,6.8,342,178,N/A,N/A,N/A,31-jul-08,https://doi.org/10.1016/j.jallcom.2008.07.124
256,AlCoCrFeNi,Al20-Co20-Cr20-Fe20-Ni20,HEA,Fusion por arco al vacio,BCC,BCC,6.7,N/A,194,1251,2004,33,24-ene-08,https://doi.org/10.1016/j.msea.2008.01.064
257,AlCoCrFeNi,Al-Co-Cr-Fe-Ni,HEA,Fusión por arco,BCC,BCC,6.7,N/A,N/A,1051,N/A,N/A,09-jul-10,https://doi.org/10.1016/j.msea.2010.07.028
258,"AlCoCrFeNiMo0,1","Al-Co-Cr-Fe-Ni-Mo0,1",HEA,Fusión por arco,BCC,BCC,6.8,N/A,N/A,1804,2280,9.1,09-jul-10,https://doi.org/10.1016/j.msea.2010.07.028
259,"AlCoCrFeNiMo0,2","Al-Co-Cr-Fe-Ni-Mo0,2",HEA,Fusión por arco,BCC + fase α,BCC,6.9,N/A,N/A,2456,2953,3.4,09-jul-10,https://doi.org/10.1016/j.msea.2010.07.028
260,"AlCoCrFeNiMo0,3","Al-Co-Cr-Fe-Ni-Mo0,3",HEA,Fusión por arco,BCC + fase α,BCC,7,N/A,N/A,2649,3208,3.3,09-jul-10,https://doi.org/10.1016/j.msea.2010.07.028
261,"AlCoCrFeNiMo0,4","Al-Co-Cr-Fe-Ni-Mo0,4",HEA,Fusión por arco,BCC + fase α,BCC,7,N/A,N/A,2670,3161,3,09-jul-10,https://doi.org/10.1016/j.msea.2010.07.028
262,"AlCoCrFeNiMo0,5","Al-Co-Cr-Fe-Ni-Mo0,5",HEA,Fusión por arco,BCC + fase α,BCC,7.1,N/A,N/A,2757,3036,2.5,09-jul-10,https://doi.org/10.1016/j.msea.2010.07.028
263,AlCoCrFeNi,Al-Co-Cr-Fe-Ni,HEA,Fusión por arco,BCC,BCC,6.7,N/A,N/A,1110,N/A,N/A,19-jul-10,https://doi.org/10.1016/j.msea.2010.07.049
264,"AlCoCrFeNiSi0,2","Al-Co-Cr-Fe-Ni-Si0,2",HEA,Fusión por arco,BCC,BCC,N/A,N/A,N/A,1265,2173,13.76,19-jul-10,https://doi.org/10.1016/j.msea.2010.07.049
265,"AlCoCrFeNiSi0,4","Al-Co-Cr-Fe-Ni-Si0,4",HEA,Fusión por arco,BCC,BCC,N/A,N/A,N/A,1481,2444,13.38,19-jul-10,https://doi.org/10.1016/j.msea.2010.07.049
266,"AlCoCrFeNiSi0,6","Al-Co-Cr-Fe-Ni-Si0,6",HEA,Fusión por arco,BCC,BCC,N/A,N/A,N/A,1834,2195,2.56,19-jul-10,https://doi.org/10.1016/j.msea.2010.07.049
267,"AlCoCrFeNiSi0,8","Al-Co-Cr-Fe-Ni-Si0,8",HEA,Fusión por arco,BCC + Fase δ,BCC,N/A,N/A,N/A,2179,2664,1.77,19-jul-10,https://doi.org/10.1016/j.msea.2010.07.049
268,"AlCoCrFeNiSi01,0",Al-Co-Cr-Fe-Ni-Si,HEA,Fusión por arco,BCC + Fase δ,BCC,N/A,N/A,N/A,2411,2950,1.17,19-jul-10,https://doi.org/10.1016/j.msea.2010.07.049
269,AlCoCrFeNi,Al-Co-Cr-Fe-Ni,HEA,Fusión por arco,BCC,BCC,N/A,N/A,125.1,1138,N/A,N/A,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
270,"AlCoCrFeNiC0,1","Al-Co-Cr-Fe-Ni-C0,1",HEA,Fusión por arco,BCC +  Fase ε,BCC+IM,6.7,N/A,213.2,957,2550,10.52,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
271,"AlCoCrFeNiC0,2","Al-Co-Cr-Fe-Ni-C0,2",HEA,Fusión por arco,BCC +  Fase ε,BCC+IM,6.8,N/A,150.9,906,2386,8.68,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
272,"AlCoCrFeNiC0,3","Al-Co-Cr-Fe-Ni-C0,3",HEA,Fusión por arco,BCC +  Fase ε,BCC+IM,6.8,N/A,137.2,867,2178,7.82,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
273,"AlCoCrFeNiC0,4","Al-Co-Cr-Fe-Ni-C0,4",HEA,Fusión por arco,BCC +  Fase ε,BCC+IM,6.8,N/A,156.1,1056,2375,6.67,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
274,"AlCoCrFeNiC0,5","Al-Co-Cr-Fe-Ni-C0,5",HEA,Fusión por arco,BCC +  Fase ε,BCC+IM,6.9,N/A,180.8,1060,2250,5.6,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
275,"AlCoCrFeNiC1,0",Al-Co-Cr-Fe-Ni-C,HEA,Fusión por arco,BCC +  Fase ε + grafito,BCC+IM,6.8,N/A,75.1,1251,2166,7.04,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
276,"AlCoCrFeNiC1,5","Al-Co-Cr-Fe-Ni-C1,5",HEA,Fusión por arco,BCC +  Fase ε + grafito,BCC+IM,7,N/A,72.5,1255,2083,5.54,11-oct-10,https://doi.org/10.1016/j.jallcom.2010.10.047
277,AlCo0.5CrFeMo0.5Ni,Al20-Cr20-Fe20-Co10-Ni10-Mo10,HEA,Fusion por arco bajo atmosfera de argon ,BCC+ fase σ,BCC+IM,7.0,801,N/A,N/A,N/A,N/A,18-feb-10,https://doi.org/10.1002/adem.200900171
278,AlCoCrFeMo0.5Ni,"Al18,2-Cr18,2-Fe18,2-Co18,2-Ni18,2-Mo9,0",HEA,Fusion por arco bajo atmosfera de argon ,BCC+ fase σ,BCC+IM,7.1,796,N/A,N/A,N/A,N/A,18-feb-10,https://doi.org/10.1002/adem.200900171
279,AlCo1.5CrFeMo0.5Ni,"Al16,7-Cr16,7-Fe16,7-Co25,0-Ni16,7-Mo8,2",HEA,Fusion por arco bajo atmosfera de argon ,BCC+ FCC + fase σ,FCC+BCC+IM,801,741,N/A,N/A,N/A,N/A,18-feb-10,https://doi.org/10.1002/adem.200900171
280,AlCo2CrFeMo0.5Ni,"Al15,4-Cr15,4-Fe15,4-Co30,8-Ni15,4-Mo7,6",HEA,Fusion por arco bajo atmosfera de argon ,BCC+ fase σ,BCC+IM,801,586,N/A,N/A,N/A,N/A,18-feb-10,https://doi.org/10.1002/adem.200900171
281,AlCoCrFe0.6Mo0.5Ni,"Al19,6-Cr19,6-Fe11,8-Co19,6-Ni19,6-Mo9,8",HEA,Fusion por arco bajo atmosfera de argon ,BCC + fase α,BCC,7.0,755,N/A,N/A,N/A,N/A,30-oct-09,https://doi.org/10.1016/j.wear.2009.10.013
282,AlCoCrFeMo0.5Ni,"Al18,2-Cr18,2-Fe18,2-Co18,2-Ni18,2-Mo9,1",HEA,Fusion por arco bajo atmosfera de argon ,BCC + fase α,BCC,7.1,754,N/A,N/A,N/A,N/A,30-oct-09,https://doi.org/10.1016/j.wear.2009.10.013
283,AlCoCrFe1.5Mo0.5Ni,"Al16,7-Cr16,7-Fe25-Cr16,7-Ni16,7-Mo8,3",HEA,Fusion por arco bajo atmosfera de argon ,BCC + fase α,BCC,7.2,635,N/A,N/A,N/A,N/A,30-oct-09,https://doi.org/10.1016/j.wear.2009.10.013
284,AlCoCrFe2Mo0.5Ni,"Al15,4-Cr15,4-Fe30,8-Co15,4-Ni15,4-Mo7,7",HEA,Fusion por arco bajo atmosfera de argon ,BCC + fase α,BCC,7.2,639,N/A,N/A,N/A,N/A,30-oct-09,https://doi.org/10.1016/j.wear.2009.10.013
285,AlCoCrFeMo0.5Ni0,"Al22,2-Cr22,2-Fe22,2-Co22,2-Mo11,2",HEA,Fusion por arco ,B2 + fase σ,IM,7,853,N/A,N/A,N/A,N/A,04-sept-12,https://doi.org/10.1016/j.intermet.2012.09.008
286,AlCoCrFeMo0.5Ni0.5,Al20-Cr20-Fe20-Co20-Ni10-Mo10,HEA,Fusion por arco ,B2 + fase σ,IM,7.0,708,N/A,N/A,N/A,N/A,04-sept-12,https://doi.org/10.1016/j.intermet.2012.09.008
287,AlCoCrFeMo0.5Ni1.0,"Al18,2-Cr18,2-Fe18,2-Co18,2-Ni18,2-Mo9,0",HEA,Fusion por arco ,B2 + fase σ,IM,7.1,730,N/A,N/A,N/A,N/A,04-sept-12,https://doi.org/10.1016/j.intermet.2012.09.008
288,AlCoCrFeMo0.5Ni1.5,"Al16,7-Cr16,7-Fe16,7-Co16,7-Ni25-Mo8,2",HEA,Fusion por arco ,B2 + FCC + fase σ,FCC+IM,7.2,586,N/A,N/A,N/A,N/A,04-sept-12,https://doi.org/10.1016/j.intermet.2012.09.008
289,AlCoCrFeMo0.5Ni2.0,"Al15,4-Cr15,4-Fe15,4-Co15,4-Ni30,8-Mo7,6",HEA,Fusion por arco ,B2 + FCC + fase σ,FCC+IM,7.4,395,N/A,N/A,N/A,N/A,04-sept-12,https://doi.org/10.1016/j.intermet.2012.09.008
290,Ti0.5CrFeCoNiCu,Ti0.5-Cr-Fe-Co-Ni-Cu,HEA,Fusion por arco + moldeo por succion,FCC,FCC,N/A,N/A,92.73,700,1650,28.7,06-nov-18,https://doi.org/10.1016/j.jallcom.2008.11.059
291,"Ti0.5CrFeCoNiAl0,25Cu0,75","Ti0.5-Cr-Fe-Co-Ni-Al0,25-Cu0,76",HEA,Fusion por arco + moldeo por succion,FCC,FCC,N/A,N/A,102.85,750,1970,38.5,06-nov-18,https://doi.org/10.1016/j.jallcom.2008.11.059
292,"Ti0.5CrFeCoNiAl0,5Cu0,5","Ti0.5-Cr-Fe-Co-Ni-Al0,5-Cu0,6",HEA,Fusion por arco + moldeo por succion,FCC + BCC,FCC+BCC,N/A,N/A,160.54,1580,2389,17.4,06-nov-18,https://doi.org/10.1016/j.jallcom.2008.11.059
293,"Ti0.5CrFeCoNiAl0,75Cu0,25","Ti0.5-Cr-Fe-Co-Ni-Al0,75-Cu0,26",HEA,Fusion por arco + moldeo por succion,FCC + BCC,FCC+BCC,N/A,N/A,164.14,1900,2697,12,06-nov-18,https://doi.org/10.1016/j.jallcom.2008.11.059
294,AlCoCrFeNi,Al-Co-Cr-Fe-Ni,HEA,Fusion por arco + refundicion por vacio e inyeccion,BCC,BCC,N/A,N/A,127,1500,2830,26.9,30-abr-07,https://doi.org/10.1063/1.2734517
295,"AlCoCrFeNiTi0,5","Al-Co-Cr-Fe-Ni-Ti0,6",HEA,Fusion por arco + refundicion por vacio e inyeccion,BCC,BCC,N/A,N/A,177.7,2260,3140,23.3,30-abr-07,https://doi.org/10.1063/1.2734517
296,AlCoCrFeNiTi,Al-Co-Cr-Fe-Ni-Ti,HEA,Fusion por arco + refundicion por vacio e inyeccion,BCC,BCC,N/A,N/A,90.1,1860,2580,8.8,30-abr-07,https://doi.org/10.1063/1.2734517
297,"AlCoCrFeNiTi1,5","Al-Co-Cr-Fe-Ni-Ti1,6",HEA,Fusion por arco + refundicion por vacio e inyeccion,BCC + Laves,BCC+IM,N/A,N/A,159.8,2220,2720,5.3,30-abr-07,https://doi.org/10.1063/1.2734517
298,AlCoFeNiTiVZr,Al-Co-Cr-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,BCC,BCC+IM,6.2,790,143,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
299,AlCoCrFeNiTiVZr,Al-Co-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,N/A,BCC+IM,6.3,780,N/A,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
300,FeMoNiTiVZr,Fe-Mo-Ni-Ti-V-Zr,HEA,Fusion por arco,N/A,BCC+IM,7.1,740,168,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
301,CoCrCuFeNiTiVZr,Co-Cr-Cu-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,N/A,FCC+BCC+IM,7.1,680,193,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
302,CoCrFeMoNiTiVZr,Co-Cr-Fe-Mo-Ni-Ti-V-Zr,HEA,Fusion por arco,N/A,BCC+IM,7.3,850,N/A,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
303,CoCuFeNiTiVZr,Co-Cu-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,N/A,FCC+BCC,7.1,630,N/A,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
304,CoFeMoNiTiVZr,Co-Fe-Mo-Ni-Ti-V-Zr,HEA,Fusion por arco,N/A,FCC+BCC+IM,7.3,790,N/A,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
305,CuFeNiTiVZr,Cu-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,N/A,FCC+BCC+IM,6.8,590,142,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
306,AlFeNiTiVZr,Al-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,BCC,BCC,5.9,800,132,N/A,N/A,N/A,24-may-04,https://doi.org/10.1002/adem.200300567
307,CoCrFeMnNi,Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,FCC,8.0,180,219,208,N/A,62,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
308,Al0.10CoCrFeMnNi,Al0.10-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,FCC,7.9,180,216,N/A,N/A,N/A,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
309,Al0.20CoCrFeMnNi,Al0.20-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,FCC,7.7,171,214,220,N/A,56,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
310,Al0.38CoCrFeMnNi,Al0.38Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,FCC,7.5,182,209,244,N/A,45,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
311,Al0.43CoCrFeMnNi,Al0.43-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.4,183,208,285,N/A,35,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
312,Al0.49CoCrFeMnNi,Al0.49-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.4,220,206,331,N/A,29,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
313,Al0.56CoCrFeMnNi,Al0.56-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.3,278,204,526,N/A,16,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
314,Al0.62CoCrFeMnNi,Al0.62-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.2,405,203,833,N/A,5,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
315,Al0.68CoCrFeMnNi,Al0.68-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.2,486,202,N/A,N/A,N/A,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
316,Al0.75CoCrFeMnNi,Al0.75-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.1,530,200,N/A,N/A,N/A,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
317,Al0.81CoCrFeMnNi,Al0.81-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.0,539,199,N/A,N/A,N/A,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
318,Al0.88CoCrFeMnNi,Al0.88-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.0,533,197,N/A,N/A,N/A,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
319,Al0.95CoCrFeMnNi,Al0.95-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.9,535,196,N/A,N/A,N/A,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
320,Al1.25CoCrFeMnNi,Al1.25-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,BCC,BCC,6.6,539,190,N/A,N/A,N/A,22-sept-13,https://doi.org/10.1016/j.actamat.2013.09.037
321,Co-Cr-Fe-Ni,Co-Cr-Fe-Ni,MEA,Fusion por arco ,FCC,FCC,N/A,160,N/A,140,488,83,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
322,CoCrFeNiMn,Co-Cr-Fe-Ni-Mn,HEA,Fusion por arco ,FCC,FCC,N/A,170,N/A,215,491,71,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
323,CoCrFeNiV,Co-Cr-Fe-Ni-V,HEA,Fusion por arco ,FCC + Tetragonal ,FCC,N/A,524,N/A,N/A,311,N/A,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
324,CoCrFeNiMnV,Co-Cr-Fe-Ni-Mn-V,HEA,Fusion por arco ,FCC + Tetragonal ,FCC,N/A,650,N/A,N/A,90,N/A,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
325,CoCrFeNi,Co-Cr-Fe-Ni,MEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC,FCC,N/A,134,N/A,130,458,87,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
326,CoCrFeNiMn,Co-Cr-Fe-Ni-Mn,HEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC,FCC,N/A,135,N/A,162,443,68,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
327,CoCrFeNiV,Co-Cr-Fe-Ni-V,HEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC + Tetragonal ,FCC,N/A,587,N/A,N/A,330,N/A,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
328,CoCrFeNiMnV,Co-Cr-Fe-Ni-Mn-V,HEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC + Tetragonal ,FCC,N/A,636,N/A,N/A,62,N/A,25-dic-13,https://doi.org/10.1016/j.jallcom.2013.12.210
329,CoCrFeMnNi,"Co19,9-Cr20,6-Fe20,1-Ni20,0-Mn19,5",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,FCC,8.0,144,219,230,N/A,75,16-dic-14,https://doi.org/10.1016/j.jallcom.2014.12.157
330,CoCrFeMnNiV0.25,"Co19,3-Cr20,0-Fe19,6-Ni19,5-Mn17-V4,6",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,FCC,7.9,151,215,200,N/A,75,16-dic-14,https://doi.org/10.1016/j.jallcom.2014.12.157
331,CoCrFeMnNiV0.5,"Co18,9-Cr18,8-Fe18,4-Ni18,0-Mn17,8-V9,1",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,FCC,7.8,186,211,620,N/A,75,16-dic-14,https://doi.org/10.1016/j.jallcom.2014.12.157
332,CoCrFeMnNiV0.75,"Co17,2-Cr17,5-Fe18,2-Ni17,2-Mn16,5-V13,3",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC + Tetragonal ,FCC,7.7,342,N/A,740,1325,8,16-dic-14,https://doi.org/10.1016/j.jallcom.2014.12.157
333,CoCrFeMnNiV1.0,"Co16,2-Cr17-Fe17,2-Ni16,5-Mn16,1-V17",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC + Tetragonal ,FCC,7.7,650,N/A,1660,1845,< 1,16-dic-14,https://doi.org/10.1016/j.jallcom.2014.12.157
334,Al0.5CrFe1.5MnNi0.5,Al0.5-Cr-Fe1.5-Mn-Ni0.6,HEA,Fusion por arco ,BCC,BCC,7.0,396,206,N/A,N/A,N/A,19-may-10,https://doi.org/10.1016/j.msea.2010.05.052
335,Al0.3CrFe1.5MnNi0.5,Al0.3-Cr-Fe1.5-Mn-Ni0.6,HEA,Fusion por arco ,FCC + BCC,FCC+BCC,7.2,297,213,N/A,N/A,N/A,19-may-10,https://doi.org/10.1016/j.msea.2010.05.052
